time_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pressure,temperature,is_launched,base_time_ms
7001010,0.0999566,0.00589173,9.92778,0.00999566,0.000589173,0.499783,313.149,23.9998,0,7001010
7001110,0.0997506,-0.0141152,9.5284,0.00997506,-0.00141152,0.498753,313.139,23.9988,0,7001010
7001210,0.0985461,-0.0339808,9.14026,0.00985461,-0.00339808,0.49273,313.129,23.9927,0,7001010
7001310,0.0963549,-0.0535063,8.77888,0.00963549,-0.00535063,0.481775,313.119,23.9818,0,7001010
7001410,0.0931991,-0.072496,8.45869,0.00931991,-0.0072496,0.465996,313.109,23.966,0,7001010
7001510,0.0891325,-0.090673,8.19362,0.00891325,-0.0090673,0.445662,313.099,23.9457,0,7001010
7001610,0.0841558,-0.108033,7.99167,0.00841558,-0.0108033,0.420779,313.089,23.9208,0,7001010
7001710,0.0783367,-0.124312,7.86236,0.00783367,-0.0124312,0.391683,313.079,23.8917,0,7001010
7001810,0.0717333,-0.139346,7.81085,0.00717333,-0.0139346,0.358666,313.069,23.8587,0,7001010
7001910,0.0644117,-0.152985,7.83919,0.00644117,-0.0152985,0.322059,313.059,23.8221,0,7001010
7002010,0.0564856,-0.165038,7.94555,0.00564856,-0.0165038,0.282428,313.049,23.7824,0,7001010
7002110,0.0479567,-0.175501,8.12671,0.00479567,-0.0175501,0.239784,313.039,23.7398,0,7001010
7002210,0.0389477,-0.184207,8.37511,0.00389477,-0.0184207,0.194739,313.029,23.6947,0,7001010
7002310,0.0295488,-0.191069,8.68083,0.00295488,-0.0191069,0.147744,313.019,23.6477,0,7001010
7002410,0.0198541,-0.196019,9.03165,0.00198541,-0.0196019,0.0992703,313.009,23.5993,0,7001010
7002510,0.0100091,-0.198996,9.41164,0.00100091,-0.0198996,0.0500457,312.999,23.55,0,7001010
7002610,1.6157e-05,-0.2,9.80935,1.6157e-06,-0.02,8.07852e-05,312.989,23.5001,0,7001010
7002710,-0.00997698,-0.199002,10.2071,-0.000997698,-0.0199002,-0.0498849,312.979,23.4501,0,7001010
7002810,-0.0198702,-0.196012,10.589,-0.00198702,-0.0196012,-0.0993512,312.969,23.4006,0,7001010
7002910,-0.0295646,-0.19106,10.9397,-0.00295646,-0.019106,-0.147823,312.959,23.3522,0,7001010
7003010,-0.038918,-0.184232,11.244,-0.0038918,-0.0184232,-0.19459,312.949,23.3054,0,7001010
7003110,-0.0479284,-0.175532,11.4926,-0.00479284,-0.0175532,-0.239642,312.939,23.2604,0,7001010
7003210,-0.056459,-0.165074,11.674,-0.0056459,-0.0165074,-0.282295,312.929,23.2177,0,7001010
7003310,-0.0644244,-0.152964,11.7809,-0.00644243,-0.0152964,-0.322122,312.919,23.1779,0,7001010
7003410,-0.0717448,-0.139322,11.8091,-0.00717448,-0.0139322,-0.358724,312.909,23.1413,0,7001010
7003510,-0.0783166,-0.124363,11.7579,-0.00783166,-0.0124363,-0.391583,312.899,23.1084,0,7001010
7003610,-0.0841384,-0.108088,11.6289,-0.00841384,-0.0108088,-0.420692,312.889,23.0793,0,7001010
7003710,-0.0891178,-0.0907306,11.4271,-0.00891178,-0.00907306,-0.445589,312.879,23.0544,0,7001010
7003810,-0.0932051,-0.0724653,11.1608,-0.00932051,-0.00724653,-0.466026,312.869,23.034,0,7001010
7003910,-0.0963593,-0.0534744,10.8406,-0.00963593,-0.00534744,-0.481797,312.859,23.0182,0,7001010
7004010,-0.0985406,-0.0340445,10.481,-0.00985406,-0.00340445,-0.492703,312.849,23.0073,0,7001010
7004110,-0.0997484,-0.0141797,10.0929,-0.00997484,-0.00141797,-0.498742,312.839,23.0013,0,7001010
7004210,-0.0999575,0.00582713,9.69351,-0.00999575,0.000582713,-0.499788,312.829,23.0002,0,7001010
7004310,-0.0991661,0.0257756,9.29879,-0.0099166,0.00257756,-0.49583,312.819,23.0042,0,7001010
7004410,-0.0973818,0.045466,8.92449,-0.00973818,0.0045466,-0.486909,312.809,23.0131,0,7001010
7004510,-0.0946384,0.0646088,8.5871,-0.00946384,0.00646088,-0.473192,312.799,23.0268,0,7001010
7004610,-0.0909365,0.0832,8.29682,-0.00909365,0.00832,-0.454682,312.789,23.0453,0,7001010
7004710,-0.0863242,0.100958,8.06697,-0.00863242,0.0100958,-0.431621,312.779,23.0684,0,7001010
7004810,-0.0808477,0.117706,7.90675,-0.00808477,0.0117706,-0.404238,312.769,23.0958,0,7001010
7004910,-0.0745618,0.133275,7.82256,-0.00745618,0.0133275,-0.372809,312.759,23.1272,0,7001010
7005010,-0.0675654,0.147444,7.81758,-0.00675654,0.0147444,-0.337827,312.749,23.1622,0,7001010
